3,0.30769231,0.09567198,0.53079365
4,0.82758621,0.51497006,0.77329975
5,0.67008547,0.82721382,0.82236025
6,0.46614173,0.75757576,0.58703939
7,0.9570011,0.80621762,0.69672131
8,0.30784913,0.51612903,0.26666667
9,0.89175258,0.63756178,0
10,0.89548694,0.69367909,0.85414236
12,0.64625302,0.95188557,0
13,0.71150972,0.76923077,0.37846656
14,0.65317919,0.17083333,0.67816092
15,0.75675676,0.18490566,0.62783172
16,0.71478873,0.75595238,0.58917197
17,0,0.37638376,0.01088139
18,0.57110862,0.80472103,0.66448445
19,0.73550212,0.50352113,0.65428277
20,0.04724409,0.25736434,0.45868152
21,0.79445727,0.56381487,0.73813708
22,0.71509972,0.48250905,0.64307381
23,0.6518847,0.525,0.43002028
24,0.98318241,0.62243902,0.17012448
25,0,0.90314465,0.68374384
26,0.65255293,0.86567164,0.77122302
27,0.70448549,0.75661376,0.94763092
28,0.7849162,0.54188948,0.81490105
29,0.09160305,0.47538462,0.39703154
30,0.89137738,0.69607843,0.76783692
31,0.9037037,0.52354874,0.39354839
32,0.56152513,0.6496,0.6488189
33,0.56303972,0.56472632,0.23745819
34,0.95854922,0.68031496,0.77115987
35,0.17475728,0.59591837,0.46203554
36,0.97340426,0.65964912,0.78524946
37,0.57345972,0.3976378,0.66030534
38,0.65552699,0.71929825,0.87055838
39,0.85168539,0.30837004,0.69375
40,0.82277121,0.03061224,0.78083588
41,0.8111332,0.61353383,0.62033462
42,0.73866924,0.9382716,0.49324324
43,0.48704663,0.68663968,0.5012285
44,0.08498584,0.72270742,0.41897233
45,0.70134228,0.52643678,0.67848101
46,0.65652174,0.44045677,0.95274585
47,0.76511628,0.63295269,0.80772947
48,0.66068759,0.76368491,0.70551181
49,0.71499176,0.94901961,0.79545455
